Scenario - phase2_matchingPennies_algorithm1
Logfile written - 07/04/2023 13:57:39

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23541	1	Nothing	61	10645	0	1			0		other	0
23541	1	Manual	07/04/2023 13:00:56	10823	178	NA
23541	1	Port Input	2	123746	113101	4
23541	1	Response	3	123746	113101	4
23541	1	Port Input	2	208258	197613	3
23541	1	Response	3	208258	197613	3
23541	1	Port Input	2	247324	236680	4
23541	1	Response	3	247324	236680	4
23541	1	Port Input	2	295973	285329	3
23541	1	Response	3	295973	285329	3
23541	1	Port Input	2	295977	285332	3
23541	1	Port Input	2	343507	332862	4
23541	1	Response	3	343507	332862	4
23541	1	Port Input	2	343510	332866	4
23541	1	Port Input	2	424427	413782	4
23541	1	Response	3	424427	413782	4
23541	1	Port Input	2	458614	447969	7
23541	1	Response	3	458614	447969	7
23541	1	Port Input	2	488170	477525	4
23541	1	Response	3	488170	477525	4
23541	1	Port Input	2	513884	503240	4
23541	1	Response	3	513884	503240	4
23541	1	Port Input	2	515075	504430	5
23541	1	Response	3	515075	504430	5
23541	1	Port Input	2	546648	536004	4
23541	1	Response	3	546648	536004	4
23541	1	Port Input	2	581027	570383	4
23541	1	Response	3	581027	570383	4
23541	1	Port Input	2	581031	570386	4
23541	1	Port Input	2	595803	585159	4
23541	1	Response	3	595803	585159	4
23541	1	Port Input	2	647377	636733	4
23541	1	Response	3	647377	636733	4
23541	2	Nothing	52	676321	0	1			0		other	0
23541	2	Port Input	2	678622	2301	8
23541	2	Response	3	678622	2301	8
23541	3	Nothing	1000	678642	0	1			0		other	0
23541	4	Nothing	62	678750	0	0			0		other	0
23541	5	Nothing	111	678871	0	1			0		false_alarm	41
23541	5	Port Input	2	679900	1029	7
23541	5	Response	3	679900	1029	7
23541	5	Port Input	2	680868	1997	4
23541	5	Response	3	680868	1997	4
23541	5	Port Input	2	682026	3155	4
23541	5	Response	3	682026	3155	4
23541	5	Port Input	2	682030	3159	4
23541	5	Port Input	2	683127	4257	4
23541	5	Response	3	683127	4257	4
23541	5	Port Input	2	684226	5355	4
23541	5	Response	3	684226	5355	4
23541	5	Port Input	2	685398	6528	4
23541	5	Response	3	685398	6528	4
23541	5	Port Input	2	686618	7748	7
23541	5	Response	3	686618	7748	7
23541	5	Port Input	2	687789	8918	4
23541	5	Response	3	687789	8918	4
23541	5	Port Input	2	688939	10069	4
23541	5	Response	3	688939	10069	4
23541	5	Port Input	2	690149	11278	3
23541	5	Response	3	690149	11278	3
23541	5	Port Input	2	690152	11281	4
23541	5	Port Input	2	691452	12581	4
23541	5	Response	3	691452	12581	4
23541	5	Port Input	2	692732	13861	5
23541	5	Response	3	692732	13861	5
23541	5	Port Input	2	693973	15103	4
23541	5	Response	3	693973	15103	4
23541	5	Port Input	2	693978	15108	3
23541	5	Port Input	2	695373	16502	4
23541	5	Response	3	695373	16502	4
23541	5	Port Input	2	696829	17959	6
23541	5	Response	3	696829	17959	6
23541	5	Port Input	2	698242	19372	4
23541	5	Response	3	698242	19372	4
23541	5	Port Input	2	698247	19376	4
23541	5	Port Input	2	704357	25487	4
23541	5	Response	3	704357	25487	4
23541	5	Port Input	2	704361	25490	4
23541	5	Port Input	2	705619	26748	3
23541	5	Response	3	705619	26748	3
23541	5	Port Input	2	707005	28134	4
23541	5	Response	3	707005	28134	4
23541	6	Nothing	19	709418	0	1			0		other	0
23541	7	Nothing	52	753124	0	0			0		other	0
23541	7	Port Input	2	754774	1650	4
23541	7	Response	3	754774	1650	4
23541	8	Nothing	1000	754795	0	1			0		other	0
23541	9	Nothing	62	754906	0	1			0		other	0
23541	10	Nothing	111	755030	0	1			0		false_alarm	91
23541	10	Port Input	2	756187	1157	4
23541	10	Response	3	756187	1157	4
23541	10	Port Input	2	757302	2272	5
23541	10	Response	3	757302	2272	5
23541	10	Port Input	2	758382	3352	4
23541	10	Response	3	758382	3352	4
23541	10	Port Input	2	759573	4543	3
23541	10	Response	3	759573	4543	3
23541	10	Port Input	2	760856	5826	3
23541	10	Response	3	760856	5826	3
23541	10	Port Input	2	761948	6919	4
23541	10	Response	3	761948	6919	4
23541	10	Port Input	2	764218	9188	3
23541	10	Response	3	764218	9188	3
23541	10	Port Input	2	765350	10320	4
23541	10	Response	3	765350	10320	4
23541	10	Port Input	2	766468	11438	5
23541	10	Response	3	766468	11438	5
23541	10	Port Input	2	767734	12705	4
23541	10	Response	3	767734	12705	4
23541	10	Port Input	2	767738	12708	4
23541	10	Port Input	2	769012	13982	4
23541	10	Response	3	769012	13982	4
23541	10	Port Input	2	770281	15251	4
23541	10	Response	3	770281	15251	4
23541	10	Port Input	2	770284	15255	4
23541	10	Port Input	2	771723	16693	4
23541	10	Response	3	771723	16693	4
23541	10	Port Input	2	773254	18224	4
23541	10	Response	3	773254	18224	4
23541	10	Port Input	2	774769	19739	5
23541	10	Response	3	774769	19739	5
23541	10	Port Input	2	776211	21181	4
23541	10	Response	3	776211	21181	4
23541	10	Port Input	2	776215	21185	4
23541	11	Nothing	19	785301	0	1			0		other	0
23541	11	Port Input	2	800565	15264	5
23541	11	Response	3	800565	15264	5
23541	12	Nothing	19	809318	0	1			0		other	0
23541	12	Port Input	2	821787	12469	3
23541	12	Response	3	821787	12469	3
23541	12	Port Input	2	823503	14185	3
23541	12	Response	3	823503	14185	3
23541	12	Port Input	2	824994	15676	4
23541	12	Response	3	824994	15676	4
23541	12	Port Input	1	826263	16945	4
23541	12	Response	2	826263	16945	4
23541	12	Port Input	2	827696	18377	4
23541	12	Response	3	827696	18377	4
23541	12	Port Input	2	829392	20074	4
23541	12	Response	3	829392	20074	4
23541	13	Nothing	19	843921	0	1			0		other	0
23541	14	Nothing	52	856610	0	1			0		other	0
23541	14	Port Input	2	858609	2000	3
23541	14	Response	3	858609	2000	3
23541	15	Nothing	1000	858624	0	1			0		other	0
23541	16	Nothing	62	858732	0	0			0		other	0
23541	17	Nothing	111	858853	0	1			0		false_alarm	149
23541	17	Port Input	2	859923	1070	4
23541	17	Response	3	859923	1070	4
23541	17	Port Input	2	861058	2205	4
23541	17	Response	3	861058	2205	4
23541	17	Port Input	2	862232	3379	3
23541	17	Response	3	862232	3379	3
23541	17	Port Input	2	863392	4539	4
23541	17	Response	3	863392	4539	4
23541	17	Port Input	2	864651	5798	4
23541	17	Response	3	864651	5798	4
23541	17	Port Input	2	865811	6958	3
23541	17	Response	3	865811	6958	3
23541	17	Port Input	2	866895	8042	3
23541	17	Response	3	866895	8042	3
23541	17	Port Input	2	868121	9268	3
23541	17	Response	3	868121	9268	3
23541	17	Port Input	2	869296	10444	5
23541	17	Response	3	869296	10444	5
23541	17	Port Input	2	870604	11751	3
23541	17	Response	3	870604	11751	3
23541	17	Port Input	2	870607	11754	4
23541	17	Port Input	2	871927	13074	4
23541	17	Response	3	871927	13074	4
23541	17	Port Input	2	873244	14391	3
23541	17	Response	3	873244	14391	3
23541	17	Port Input	2	874672	15819	4
23541	17	Response	3	874672	15819	4
23541	18	Nothing	19	889127	0	1			0		other	0
23541	18	Port Input	2	898808	9681	4
23541	18	Response	3	898808	9681	4
23541	18	Port Input	2	898811	9684	4
23541	18	Port Input	2	900071	10944	4
23541	18	Response	3	900071	10944	4
23541	18	Port Input	2	929084	39957	4
23541	18	Response	3	929084	39957	4
23541	18	Port Input	2	930363	41236	4
23541	18	Response	3	930363	41236	4
23541	18	Port Input	2	931606	42480	4
23541	18	Response	3	931606	42480	4
23541	18	Port Input	2	932795	43668	3
23541	18	Response	3	932795	43668	3
23541	18	Port Input	2	934139	45012	3
23541	18	Response	3	934139	45012	3
23541	18	Port Input	2	934142	45016	3
23541	18	Port Input	2	935630	46503	4
23541	18	Response	3	935630	46503	4
23541	19	Nothing	19	937110	0	0			0		other	0
23541	20	Nothing	52	954758	0	1			0		other	0
23541	20	Port Input	2	956719	1961	5
23541	20	Response	3	956719	1961	5
23541	20	Port Input	2	956725	1967	5
23541	21	Nothing	1000	956735	0	1			0		other	0
23541	22	Nothing	62	956843	0	1			0		other	0
23541	23	Nothing	111	956963	0	0			0		false_alarm	203
23541	23	Port Input	2	958081	1118	4
23541	23	Response	3	958081	1118	4
23541	23	Port Input	2	959151	2188	4
23541	23	Response	3	959151	2188	4
23541	23	Port Input	2	960234	3271	3
23541	23	Response	3	960234	3271	3
23541	23	Port Input	2	961406	4443	4
23541	23	Response	3	961406	4443	4
23541	23	Port Input	2	962545	5582	4
23541	23	Response	3	962545	5582	4
23541	23	Port Input	2	963722	6759	4
23541	23	Response	3	963722	6759	4
23541	23	Port Input	2	964858	7895	5
23541	23	Response	3	964858	7895	5
23541	23	Port Input	2	964863	7900	4
23541	23	Port Input	2	966093	9130	4
23541	23	Response	3	966093	9130	4
23541	23	Port Input	2	967377	10414	3
23541	23	Response	3	967377	10414	3
23541	23	Port Input	2	967380	10417	3
23541	23	Port Input	2	968635	11672	4
23541	23	Response	3	968635	11672	4
23541	23	Port Input	2	969888	12925	4
23541	23	Response	3	969888	12925	4
23541	23	Port Input	2	971169	14206	4
23541	23	Response	3	971169	14206	4
23541	23	Port Input	2	972528	15565	4
23541	23	Response	3	972528	15565	4
23541	24	Nothing	19	987257	0	1			0		other	0
23541	24	Port Input	2	1001236	13979	4
23541	24	Response	3	1001236	13979	4
23541	24	Port Input	2	1001240	13983	5
23541	25	Nothing	19	1001651	0	1			0		other	0
23541	25	Port Input	2	1002811	1160	4
23541	25	Response	3	1002811	1160	4
23541	26	Nothing	19	1014440	0	0			0		other	0
23541	28	Nothing	51	1028325	0	1			0		other	0
23541	28	Port Input	2	1031263	2938	4
23541	28	Response	3	1031263	2938	4
23541	29	Nothing	1000	1031285	0	1			0		other	0
23541	30	Nothing	62	1031392	0	1			0		other	0
23541	31	Nothing	101	1031509	0	1			0		false_alarm	245
23541	31	Port Input	2	1032418	909	3
23541	31	Response	3	1032418	909	3
23541	31	Port Input	2	1032421	912	3
23541	31	Port Input	2	1033649	2141	4
23541	31	Response	3	1033649	2141	4
23541	31	Port Input	1	1034599	3090	4
23541	31	Response	2	1034599	3090	4
23541	31	Port Input	2	1034701	3192	4
23541	31	Response	3	1034701	3192	4
23541	31	Port Input	1	1035981	4472	5
23541	31	Response	2	1035981	4472	5
23541	31	Port Input	2	1037245	5737	3
23541	31	Response	3	1037245	5737	3
23541	31	Port Input	2	1037248	5740	4
23541	32	Nothing	19	1062231	0	1			0		other	0
23541	32	Port Input	2	1064035	1804	3
23541	32	Response	3	1064035	1804	3
23541	33	Nothing	19	1103010	0	1			0		other	0
23541	33	Port Input	2	1103766	757	3
23541	33	Response	3	1103766	757	3
23541	33	Port Input	2	1105221	2212	4
23541	33	Response	3	1105221	2212	4
23541	34	Nothing	19	1135429	0	0			0		other	0
23541	35	Nothing	51	1168585	0	1			0		other	0
23541	35	Port Input	2	1172283	3698	4
23541	35	Port Input	2	1173633	5048	6
23541	35	Response	3	1173633	5048	6
23541	36	Nothing	1000	1173655	0	1			0		other	0
23541	37	Nothing	62	1173763	0	1			0		other	0
23541	38	Nothing	101	1173878	0	1			0		false_alarm	275
23541	38	Port Input	2	1174912	1034	4
23541	38	Response	3	1174912	1034	4
23541	38	Port Input	2	1176085	2207	5
23541	38	Response	3	1176085	2207	5
23541	38	Port Input	1	1177419	3541	3
23541	38	Response	2	1177419	3541	3
23541	39	Nothing	19	1206567	0	1			0		other	0
23541	39	Port Input	2	1208042	1474	3
23541	39	Response	3	1208042	1474	3
23541	40	Nothing	19	1221453	0	1			0		other	0
23541	40	Port Input	2	1234186	12733	4
23541	40	Response	3	1234186	12733	4
23541	40	Port Input	2	1235724	14271	4
23541	40	Response	3	1235724	14271	4
23541	40	Port Input	1	1238554	17101	3
23541	40	Response	2	1238554	17101	3
23541	40	Port Input	1	1238558	17104	4
23541	41	Nothing	19	1238792	0	1			0		other	0
23541	41	Port Input	2	1268892	30099	4
23541	41	Response	3	1268892	30099	4
23541	42	Nothing	19	1271518	0	1			0		other	0
23541	43	Nothing	51	1284464	0	1			0		other	0
23541	43	Port Input	2	1286750	2286	3
23541	43	Response	3	1286750	2286	3
23541	44	Nothing	1000	1286765	0	0			0		other	0
23541	45	Nothing	62	1286872	0	1			0		other	0
23541	46	Nothing	101	1286991	0	1			0		false_alarm	302
23541	46	Port Input	2	1288015	1025	3
23541	46	Response	3	1288015	1025	3
23541	46	Port Input	2	1289315	2324	4
23541	46	Response	3	1289315	2324	4
23541	46	Port Input	1	1291918	4928	5
23541	47	Nothing	19	1319584	0	1			0		other	0
23541	47	Port Input	2	1328736	9152	3
23541	47	Response	3	1328736	9152	3
23541	47	Port Input	2	1328739	9155	3
23541	47	Port Input	2	1329938	10354	3
23541	47	Response	3	1329938	10354	3
23541	48	Nothing	19	1334960	0	1			0		other	0
23541	49	Nothing	51	1351739	0	1			0		other	0
23541	49	Port Input	2	1353960	2221	4
23541	49	Response	3	1353960	2221	4
23541	50	Nothing	1000	1353975	0	1			0		other	0
23541	51	Nothing	62	1354083	0	1			0		other	0
23541	52	Nothing	101	1354199	0	0			0		false_alarm	320
23541	52	Port Input	2	1355091	892	4
23541	52	Response	3	1355091	892	4
23541	52	Port Input	2	1356272	2074	4
23541	52	Response	3	1356272	2074	4
23541	53	Nothing	19	1386800	0	0			0		other	0
23541	53	Port Input	2	1390438	3637	3
23541	53	Response	3	1390438	3637	3
23541	53	Port Input	2	1391656	4856	4
23541	53	Response	3	1391656	4856	4
23541	53	Port Input	1	1394016	7216	4
23541	53	Response	2	1394016	7216	4
23541	53	Port Input	1	1394020	7220	4
23541	54	Nothing	19	1415078	0	1			0		other	0
23541	54	Port Input	2	1437045	21966	5
23541	54	Response	3	1437045	21966	5
23541	55	Nothing	19	1447810	0	1			0		other	0
23541	56	Nothing	51	1465619	0	1			0		other	0
23541	56	Port Input	2	1467415	1796	4
23541	56	Port Input	2	1467421	1802	3
23541	56	Port Input	2	1467446	1827	8
23541	56	Port Input	2	1468619	3000	4
23541	56	Port Input	2	1469592	3973	4
23541	56	Port Input	2	1469666	4047	4
23541	56	Port Input	2	1469721	4102	3
23541	56	Port Input	2	1470818	5199	3
23541	56	Port Input	2	1470966	5347	8
23541	56	Port Input	2	1472154	6535	5
23541	56	Port Input	2	1472245	6626	8
23541	56	Port Input	2	1472273	6654	4
23541	56	Port Input	2	1473429	7810	4
23541	56	Port Input	2	1473510	7891	4
23541	56	Port Input	2	1475723	10104	3
23541	56	Response	3	1475723	10104	3
23541	57	Nothing	1000	1475736	0	1			0		other	0
23541	58	Nothing	62	1475844	0	1			0		other	0
23541	59	Nothing	101	1475961	0	0			0		false_alarm	357
23541	59	Port Input	2	1476880	919	3
23541	59	Port Input	2	1477627	1665	4
23541	59	Response	3	1477627	1665	4
23541	59	Port Input	2	1477631	1669	4
23541	59	Port Input	2	1479767	3806	4
23541	59	Response	3	1479767	3806	4
23541	59	Port Input	2	1482391	6430	4
23541	59	Response	3	1482391	6430	4
23541	59	Port Input	1	1485829	9868	4
23541	59	Response	2	1485829	9868	4
23541	59	Port Input	1	1485833	9871	4
23541	59	Port Input	2	1486464	10502	4
23541	59	Response	3	1486464	10502	4
23541	59	Port Input	1	1486486	10524	7
23541	59	Response	2	1486486	10524	7
23541	59	Port Input	2	1491581	15619	3
23541	59	Port Input	2	1491583	15622	4
23541	59	Port Input	2	1491587	15626	5
23541	59	Port Input	1	1493062	17100	4
23541	59	Port Input	2	1493719	17757	3
23541	59	Response	3	1493719	17757	3
23541	60	Nothing	19	1508561	0	1			0		other	0
23541	62	Nothing	51	1541252	0	1			0		other	0
23541	62	Port Input	2	1543498	2246	4
23541	62	Response	3	1543498	2246	4
23541	63	Nothing	1000	1543512	0	1			0		other	0
23541	64	Nothing	62	1543621	0	1			0		other	0
23541	65	Nothing	101	1543735	0	1			0		false_alarm	384
23541	65	Port Input	2	1544628	892	4
23541	65	Response	3	1544628	892	4
23541	65	Port Input	2	1545747	2012	4
23541	65	Response	3	1545747	2012	4
23541	65	Port Input	2	1546747	3012	4
23541	65	Response	3	1546747	3012	4
23541	65	Port Input	1	1548188	4453	4
23541	65	Response	2	1548188	4453	4
23541	65	Port Input	1	1549491	5756	4
23541	65	Response	2	1549491	5756	4
23541	65	Port Input	2	1551007	7272	4
23541	65	Response	3	1551007	7272	4
23541	65	Port Input	2	1551011	7276	3
23541	65	Port Input	2	1553813	10078	4
23541	65	Response	3	1553813	10078	4
23541	65	Port Input	2	1555070	11335	4
23541	65	Response	3	1555070	11335	4
23541	65	Port Input	2	1556451	12716	3
23541	65	Response	3	1556451	12716	3
23541	66	Nothing	19	1576319	0	1			0		other	0
23541	67	Nothing	51	1610804	0	0			0		other	0
23541	67	Port Input	2	1613104	2300	4
23541	67	Response	3	1613104	2300	4
23541	68	Nothing	1000	1613117	0	0			0		other	0
23541	69	Nothing	62	1613225	0	0			0		other	0
23541	70	Nothing	101	1613340	0	1			0		false_alarm	410
23541	70	Port Input	2	1614268	928	4
23541	70	Response	3	1614268	928	4
23541	70	Port Input	2	1614272	931	4
23541	70	Port Input	2	1615423	2083	4
23541	70	Response	3	1615423	2083	4
23541	70	Port Input	1	1616663	3322	3
23541	70	Response	2	1616663	3322	3
23541	70	Port Input	2	1619783	6443	4
23541	70	Response	3	1619783	6443	4
23541	70	Port Input	2	1619787	6447	4
23541	71	Nothing	19	1645910	0	1			0		other	0
23541	72	Nothing	51	1657225	0	1			0		other	0
23541	72	Port Input	2	1658998	1773	3
23541	72	Response	3	1658998	1773	3
23541	73	Nothing	1000	1659011	0	0			0		other	0
23541	74	Nothing	62	1659117	0	0			0		other	0
23541	75	Nothing	101	1659230	0	1			0		false_alarm	427
23541	75	Port Input	2	1660135	905	4
23541	75	Response	3	1660135	905	4
23541	75	Port Input	2	1661315	2085	4
23541	75	Response	3	1661315	2085	4
23541	75	Port Input	1	1663722	4492	3
23541	75	Response	2	1663722	4492	3
23541	75	Port Input	2	1665204	5974	3
23541	75	Response	3	1665204	5974	3
23541	76	Nothing	19	1691807	0	1			0		other	0
23541	77	Nothing	51	1724635	0	1			0		other	0
23541	77	Port Input	2	1726705	2070	3
23541	77	Response	3	1726705	2070	3
23541	78	Nothing	1000	1726720	0	1			0		other	0
23541	79	Nothing	62	1726829	0	0			0		other	0
23541	80	Nothing	101	1726941	0	1			0		false_alarm	442
23541	80	Port Input	2	1727869	928	4
23541	80	Response	3	1727869	928	4
