Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/20/2023 12:08:48

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23524	1	Nothing	61	10429	0	1			0		other	0
23524	1	Manual	06/20/2023 11:31:44	10611	181	NA
23524	1	Port Input	2	21235	10806	4
23524	1	Response	3	21235	10806	4
23524	1	Port Input	2	24262	13833	4
23524	1	Response	3	24262	13833	4
23524	1	Port Input	2	121009	110579	4
23524	1	Response	3	121009	110579	4
23524	1	Port Input	1	122488	112059	4
23524	1	Response	2	122488	112059	4
23524	1	Port Input	2	123856	113427	4
23524	1	Response	3	123856	113427	4
23524	1	Port Input	1	190007	179577	4
23524	1	Response	2	190007	179577	4
23524	1	Port Input	1	190927	180498	4
23524	1	Response	2	190927	180498	4
23524	1	Port Input	2	192330	181900	6
23524	1	Response	3	192330	181900	6
23524	1	Port Input	2	226072	215643	4
23524	1	Response	3	226072	215643	4
23524	1	Port Input	2	227355	216925	7
23524	1	Response	3	227355	216925	7
23524	1	Port Input	1	284070	273640	4
23524	1	Response	2	284070	273640	4
23524	1	Port Input	1	285174	274745	4
23524	1	Response	2	285174	274745	4
23524	1	Port Input	1	391143	380713	4
23524	1	Response	2	391143	380713	4
23524	1	Port Input	1	392426	381997	4
23524	1	Response	2	392426	381997	4
23524	1	Port Input	1	563831	553401	5
23524	1	Response	2	563831	553401	5
23524	2	Nothing	52	761157	0	1			0		other	0
23524	2	Port Input	2	763078	1921	4
23524	2	Response	3	763078	1921	4
23524	3	Nothing	1000	763095	0	1			0		other	0
23524	4	Nothing	62	763203	0	1			0		other	0
23524	5	Nothing	111	763324	0	1			0		false_alarm	40
23524	5	Port Input	2	763519	195	4
23524	5	Response	3	763519	195	4
23524	5	Port Input	2	764312	988	4
23524	5	Response	3	764312	988	4
23524	5	Port Input	2	766633	3309	5
23524	5	Response	3	766633	3309	5
23524	5	Port Input	2	767724	4401	4
23524	5	Response	3	767724	4401	4
23524	5	Port Input	2	768853	5530	4
23524	5	Response	3	768853	5530	4
23524	5	Port Input	2	770027	6703	4
23524	5	Response	3	770027	6703	4
23524	5	Port Input	2	771402	8079	5
23524	5	Response	3	771402	8079	5
23524	5	Port Input	2	772657	9333	4
23524	5	Response	3	772657	9333	4
23524	5	Port Input	2	773857	10534	4
23524	5	Response	3	773857	10534	4
23524	5	Port Input	2	775033	11709	4
23524	5	Response	3	775033	11709	4
23524	5	Port Input	1	776268	12945	4
23524	5	Response	2	776268	12945	4
23524	5	Port Input	1	777463	14139	5
23524	5	Response	2	777463	14139	5
23524	5	Port Input	2	778691	15367	4
23524	5	Response	3	778691	15367	4
23524	5	Port Input	1	779919	16595	4
23524	5	Response	2	779919	16595	4
23524	5	Port Input	1	781212	17889	4
23524	5	Response	2	781212	17889	4
23524	5	Port Input	1	782517	19193	4
23524	5	Response	2	782517	19193	4
23524	5	Port Input	2	783939	20615	4
23524	5	Response	3	783939	20615	4
23524	5	Port Input	2	785180	21856	4
23524	5	Response	3	785180	21856	4
23524	5	Port Input	2	786591	23267	5
23524	5	Response	3	786591	23267	5
23524	5	Port Input	2	788136	24813	4
23524	5	Response	3	788136	24813	4
23524	5	Port Input	2	789684	26360	4
23524	5	Response	3	789684	26360	4
23524	5	Port Input	2	791064	27740	4
23524	5	Response	3	791064	27740	4
23524	5	Port Input	2	792464	29140	4
23524	5	Response	3	792464	29140	4
23524	6	Nothing	19	793843	0	1			0		other	0
23524	6	Port Input	2	794018	175	4
23524	6	Response	3	794018	175	4
23524	6	Port Input	1	795457	1613	4
23524	6	Response	2	795457	1613	4
23524	7	Nothing	19	809275	0	1			0		other	0
23524	7	Port Input	1	826095	16821	10
23524	7	Response	2	826095	16821	10
23524	7	Port Input	1	827378	18104	5
23524	7	Response	2	827378	18104	5
23524	7	Port Input	1	828926	19651	4
23524	7	Response	2	828926	19651	4
23524	7	Port Input	1	830347	21073	4
23524	7	Response	2	830347	21073	4
23524	7	Port Input	2	831713	22439	4
23524	7	Response	3	831713	22439	4
23524	7	Port Input	1	832956	23682	4
23524	7	Response	2	832956	23682	4
23524	7	Port Input	1	834352	25077	4
23524	7	Response	2	834352	25077	4
23524	7	Port Input	1	836016	26742	9
