Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/30/2023 11:36:34

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23524	1	Nothing	61	10471	0	1			0		other	0
23524	1	Manual	06/30/2023 10:49:16	10632	160	NA
23524	1	Port Input	2	21305	10834	4
23524	1	Response	3	21305	10834	4
23524	1	Port Input	2	83358	72887	4
23524	1	Response	3	83358	72887	4
23524	1	Port Input	2	84854	74382	4
23524	1	Response	3	84854	74382	4
23524	1	Port Input	2	86552	76080	4
23524	1	Response	3	86552	76080	4
23524	1	Port Input	2	89032	78561	4
23524	1	Response	3	89032	78561	4
23524	1	Port Input	1	91623	81152	4
23524	1	Response	2	91623	81152	4
23524	1	Port Input	2	114197	103726	5
23524	1	Response	3	114197	103726	5
23524	1	Port Input	2	257196	246725	5
23524	1	Response	3	257196	246725	5
23524	1	Port Input	2	324495	314024	4
23524	1	Response	3	324495	314024	4
23524	1	Port Input	2	326219	315748	4
23524	1	Response	3	326219	315748	4
23524	1	Port Input	2	356354	345883	4
23524	1	Response	3	356354	345883	4
23524	1	Port Input	2	409862	399391	4
23524	1	Response	3	409862	399391	4
23524	1	Port Input	2	412475	402003	5
23524	1	Response	3	412475	402003	5
23524	1	Port Input	2	415175	404703	4
23524	1	Response	3	415175	404703	4
23524	1	Port Input	2	436999	426528	4
23524	1	Response	3	436999	426528	4
23524	1	Port Input	2	485371	474900	9
23524	1	Response	3	485371	474900	9
23524	1	Port Input	2	486848	476377	4
23524	1	Response	3	486848	476377	4
23524	1	Port Input	2	503948	493477	6
23524	1	Response	3	503948	493477	6
23524	1	Port Input	2	508425	497953	4
23524	1	Response	3	508425	497953	4
23524	1	Port Input	1	509781	499310	4
23524	1	Response	2	509781	499310	4
23524	1	Port Input	2	533513	523042	5
23524	1	Response	3	533513	523042	5
23524	1	Port Input	2	534865	524394	4
23524	1	Response	3	534865	524394	4
23524	1	Port Input	2	536338	525866	4
23524	1	Response	3	536338	525866	4
23524	1	Port Input	2	537852	527381	9
23524	1	Response	3	537852	527381	9
23524	1	Port Input	2	539542	529071	4
23524	1	Response	3	539542	529071	4
23524	1	Port Input	2	574904	564433	4
23524	1	Response	3	574904	564433	4
23524	1	Port Input	2	577803	567332	4
23524	1	Response	3	577803	567332	4
23524	1	Port Input	2	578920	568449	4
23524	1	Response	3	578920	568449	4
23524	1	Port Input	2	579233	568762	4
23524	1	Response	3	579233	568762	4
23524	1	Port Input	2	580085	569614	4
23524	1	Response	3	580085	569614	4
23524	1	Port Input	2	580454	569982	6
23524	1	Response	3	580454	569982	6
23524	1	Port Input	2	581385	570914	4
23524	1	Response	3	581385	570914	4
23524	1	Port Input	2	581456	570984	4
23524	1	Port Input	2	581764	571293	4
23524	1	Response	3	581764	571293	4
23524	1	Port Input	2	582959	572488	4
23524	1	Response	3	582959	572488	4
23524	1	Port Input	2	584905	574434	4
23524	1	Response	3	584905	574434	4
23524	1	Port Input	2	587129	576658	4
23524	1	Response	3	587129	576658	4
23524	1	Port Input	2	587178	576707	4
23524	1	Port Input	2	589581	579110	4
23524	1	Response	3	589581	579110	4
23524	1	Port Input	2	589666	579195	4
23524	1	Port Input	1	590687	580216	4
23524	1	Response	2	590687	580216	4
23524	1	Port Input	1	590842	580371	4
23524	1	Port Input	1	594530	584059	4
23524	1	Response	2	594530	584059	4
23524	1	Port Input	2	598678	588207	4
23524	1	Response	3	598678	588207	4
23524	1	Port Input	2	598853	588382	5
23524	1	Response	3	598853	588382	5
23524	1	Port Input	2	633001	622529	4
23524	1	Response	3	633001	622529	4
23524	1	Port Input	2	634606	624135	4
23524	1	Response	3	634606	624135	4
23524	1	Port Input	2	636845	626374	4
23524	1	Response	3	636845	626374	4
23524	1	Port Input	1	638117	627645	5
23524	1	Response	2	638117	627645	5
23524	1	Port Input	2	663359	652888	4
23524	1	Response	3	663359	652888	4
23524	1	Port Input	2	664666	654195	4
23524	1	Response	3	664666	654195	4
23524	1	Port Input	1	665975	655503	4
23524	1	Response	2	665975	655503	4
23524	1	Port Input	1	667350	656879	4
23524	1	Response	2	667350	656879	4
23524	1	Port Input	2	669080	658609	4
23524	1	Response	3	669080	658609	4
23524	1	Port Input	1	670313	659842	4
23524	1	Response	2	670313	659842	4
23524	1	Port Input	1	671963	661492	4
23524	1	Response	2	671963	661492	4
23524	1	Port Input	2	673828	663357	4
23524	1	Response	3	673828	663357	4
23524	1	Port Input	2	675379	664908	4
23524	1	Response	3	675379	664908	4
23524	1	Port Input	1	676584	666113	5
23524	1	Response	2	676584	666113	5
23524	2	Nothing	52	747108	0	1			0		other	0
23524	2	Port Input	2	750068	2960	4
23524	2	Response	3	750068	2960	4
23524	3	Nothing	1000	750083	0	1			0		other	0
23524	4	Nothing	62	750190	0	1			0		other	0
23524	5	Nothing	111	750310	0	1			0		false_alarm	124
23524	5	Port Input	2	751490	1179	4
23524	5	Response	3	751490	1179	4
