Scenario - phase2_matchingPennies_algorithm1
Logfile written - 07/07/2023 12:51:58

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23508	1	Nothing	61	10520	0	1			0		other	0
23508	1	Manual	07/07/2023 12:04:10	10680	160	NA
23508	1	Port Input	2	50607	40088	4
23508	1	Response	3	50607	40088	4
23508	1	Port Input	2	52501	41982	4
23508	1	Response	3	52501	41982	4
23508	1	Port Input	2	54012	43493	4
23508	1	Response	3	54012	43493	4
23508	1	Port Input	1	64738	54218	4
23508	1	Response	2	64738	54218	4
23508	1	Port Input	1	99850	89331	4
23508	1	Response	2	99850	89331	4
23508	1	Port Input	1	101986	91466	4
23508	1	Response	2	101986	91466	4
23508	1	Port Input	2	118995	108475	4
23508	1	Response	3	118995	108475	4
23508	1	Port Input	1	137583	127064	4
23508	1	Response	2	137583	127064	4
23508	1	Port Input	2	220806	210286	4
23508	1	Response	3	220806	210286	4
23508	1	Port Input	1	221478	210958	5
23508	1	Response	2	221478	210958	5
23508	1	Port Input	1	223364	212845	4
23508	1	Response	2	223364	212845	4
23508	1	Port Input	1	294345	283825	4
23508	1	Response	2	294345	283825	4
23508	1	Port Input	1	347592	337072	4
23508	1	Response	2	347592	337072	4
23508	1	Port Input	1	349294	338774	4
23508	1	Response	2	349294	338774	4
23508	1	Port Input	1	403634	393114	4
23508	1	Response	2	403634	393114	4
23508	1	Port Input	2	446276	435756	4
23508	1	Response	3	446276	435756	4
23508	1	Port Input	2	446284	435764	4
23508	1	Port Input	2	450918	440398	4
23508	1	Response	3	450918	440398	4
23508	1	Port Input	2	451007	440487	4
23508	1	Port Input	2	452170	441650	4
23508	1	Response	3	452170	441650	4
23508	1	Port Input	2	453720	443200	4
23508	1	Response	3	453720	443200	4
23508	1	Port Input	1	454524	444004	4
23508	1	Response	2	454524	444004	4
23508	1	Port Input	1	454582	444062	4
23508	1	Port Input	1	455585	445065	4
23508	1	Port Input	1	456014	445494	7
23508	1	Response	2	456014	445494	7
23508	1	Port Input	2	457935	447415	5
23508	1	Response	3	457935	447415	5
23508	1	Port Input	2	460201	449681	4
23508	1	Response	3	460201	449681	4
23508	1	Port Input	2	462759	452239	4
23508	1	Response	3	462759	452239	4
23508	1	Port Input	2	463044	452524	4
23508	1	Port Input	2	465808	455288	4
23508	1	Response	3	465808	455288	4
23508	1	Port Input	2	471277	460757	4
23508	1	Response	3	471277	460757	4
23508	1	Port Input	2	471388	460868	4
23508	1	Port Input	2	475783	465264	4
23508	1	Response	3	475783	465264	4
23508	1	Port Input	2	476002	465482	4
23508	1	Port Input	2	478643	468124	4
23508	1	Response	3	478643	468124	4
23508	1	Port Input	1	521717	511197	4
23508	1	Response	2	521717	511197	4
23508	1	Port Input	1	522010	511490	4
23508	1	Port Input	2	543048	532528	6
23508	1	Response	3	543048	532528	6
23508	1	Port Input	1	544436	533917	5
23508	1	Response	2	544436	533917	5
23508	1	Port Input	1	699456	688937	4
23508	1	Response	2	699456	688937	4
23508	2	Nothing	51	749843	0	1			0		other	0
23508	2	Port Input	1	752869	3026	4
23508	2	Response	2	752869	3026	4
23508	3	Nothing	1000	752883	0	1			0		other	0
23508	4	Nothing	62	752992	0	1			0		other	0
23508	5	Nothing	100	753114	0	1			0		false_alarm	82
23508	5	Port Input	1	754898	1784	4
23508	5	Response	2	754898	1784	4
23508	5	Port Input	1	756256	3142	5
23508	5	Response	2	756256	3142	5
23508	5	Port Input	1	757352	4238	4
23508	5	Response	2	757352	4238	4
23508	5	Port Input	1	758577	5463	5
23508	5	Response	2	758577	5463	5
23508	5	Port Input	1	759992	6878	5
23508	5	Response	2	759992	6878	5
23508	5	Port Input	1	761288	8174	4
23508	5	Response	2	761288	8174	4
23508	5	Port Input	1	762595	9482	4
23508	5	Response	2	762595	9482	4
23508	5	Port Input	1	764230	11116	4
23508	5	Response	2	764230	11116	4
23508	5	Port Input	1	765366	12252	4
23508	5	Response	2	765366	12252	4
23508	5	Port Input	1	766742	13628	4
23508	5	Response	2	766742	13628	4
23508	5	Port Input	1	768280	15166	4
23508	5	Response	2	768280	15166	4
23508	5	Port Input	1	770071	16957	4
23508	5	Response	2	770071	16957	4
23508	5	Port Input	1	771456	18342	4
23508	5	Response	2	771456	18342	4
23508	5	Port Input	1	771700	18586	4
23508	5	Response	2	771700	18586	4
23508	5	Port Input	1	773081	19967	4
23508	5	Response	2	773081	19967	4
23508	5	Port Input	1	774809	21696	4
23508	5	Response	2	774809	21696	4
23508	5	Port Input	1	776444	23330	4
23508	5	Response	2	776444	23330	4
23508	5	Port Input	1	776670	23556	4
23508	5	Response	2	776670	23556	4
23508	5	Port Input	1	778162	25048	4
23508	5	Response	2	778162	25048	4
23508	5	Port Input	1	779837	26723	4
23508	5	Response	2	779837	26723	4
23508	5	Port Input	1	781873	28759	4
23508	5	Response	2	781873	28759	4
23508	5	Port Input	1	783055	29941	4
23508	5	Response	2	783055	29941	4
23508	6	Nothing	19	783626	0	1			0		other	0
23508	6	Port Input	1	784868	1243	4
23508	6	Response	2	784868	1243	4
23508	6	Port Input	1	786658	3032	4
23508	6	Response	2	786658	3032	4
23508	6	Port Input	2	790382	6757	4
23508	6	Response	3	790382	6757	4
23508	6	Port Input	1	791880	8255	4
23508	6	Response	2	791880	8255	4
23508	7	Nothing	19	804074	0	0			0		other	0
23508	7	Port Input	2	812080	8006	4
23508	7	Response	3	812080	8006	4
23508	7	Port Input	1	813761	9686	4
23508	7	Response	2	813761	9686	4
23508	8	Nothing	19	821216	0	1			0		other	0
23508	8	Port Input	2	839211	17995	4
23508	8	Response	3	839211	17995	4
23508	9	Nothing	19	871314	0	1			0		other	0
23508	10	Nothing	51	914201	0	1			0		other	0
23508	10	Port Input	1	917196	2995	5
23508	10	Response	2	917196	2995	5
23508	11	Nothing	1002	917214	0	1			0		other	0
23508	12	Nothing	63	917326	0	0			0		other	0
23508	13	Nothing	100	917448	0	1			0		false_alarm	150
23508	13	Port Input	1	918430	982	6
23508	13	Response	2	918430	982	6
23508	13	Port Input	1	919927	2479	4
23508	13	Response	2	919927	2479	4
23508	13	Port Input	1	921051	3603	4
23508	13	Response	2	921051	3603	4
23508	13	Port Input	1	922329	4881	4
23508	13	Response	2	922329	4881	4
23508	13	Port Input	1	923646	6198	4
23508	13	Response	2	923646	6198	4
23508	13	Port Input	1	923799	6351	4
23508	13	Port Input	1	924974	7526	7
23508	13	Response	2	924974	7526	7
23508	13	Port Input	1	926680	9232	4
23508	13	Response	2	926680	9232	4
23508	13	Port Input	1	927921	10473	5
23508	13	Response	2	927921	10473	5
23508	13	Port Input	1	929588	12140	4
23508	13	Response	2	929588	12140	4
23508	13	Port Input	1	931071	13623	4
23508	13	Response	2	931071	13623	4
23508	13	Port Input	1	932591	15143	4
23508	13	Response	2	932591	15143	4
23508	13	Port Input	1	934086	16638	4
23508	13	Response	2	934086	16638	4
23508	13	Port Input	1	935963	18515	5
23508	13	Response	2	935963	18515	5
23508	13	Port Input	1	937403	19955	4
23508	13	Response	2	937403	19955	4
23508	13	Port Input	1	938760	21312	10
23508	13	Response	2	938760	21312	10
23508	13	Port Input	1	938897	21449	17
23508	13	Port Input	1	942133	24685	4
23508	13	Response	2	942133	24685	4
23508	13	Port Input	1	945035	27587	4
23508	13	Response	2	945035	27587	4
23508	14	Nothing	19	947786	0	1			0		other	0
23508	14	Port Input	1	979160	31374	4
23508	14	Response	2	979160	31374	4
23508	14	Port Input	1	980917	33130	4
23508	14	Response	2	980917	33130	4
23508	15	Nothing	19	995420	0	1			0		other	0
23508	16	Nothing	51	1015245	0	1			0		other	0
23508	17	Nothing	77	1035256	0	1			0		other	0
23508	17	Port Input	1	1047687	12431	4
23508	17	Response	2	1047687	12431	4
23508	17	Port Input	1	1049305	14049	5
23508	17	Response	2	1049305	14049	5
23508	18	Nothing	1000	1065263	0	0			0		other	0
23508	19	Nothing	19	1065779	0	0			0		other	0
23508	19	Port Input	1	1084067	18288	4
23508	19	Response	2	1084067	18288	4
