Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/28/2023 12:42:59

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23524	1	Nothing	61	10416	0	1			0		other	0
23524	1	Manual	06/28/2023 11:59:52	10573	157	NA
23524	1	Port Input	1	32408	21992	4
23524	1	Response	2	32408	21992	4
23524	1	Port Input	1	33002	22585	4
23524	1	Response	2	33002	22585	4
23524	1	Port Input	1	34399	23983	4
23524	1	Response	2	34399	23983	4
23524	1	Port Input	2	35683	25267	4
23524	1	Response	3	35683	25267	4
23524	1	Port Input	2	74136	63720	4
23524	1	Response	3	74136	63720	4
23524	1	Port Input	2	76978	66562	6
23524	1	Response	3	76978	66562	6
23524	1	Port Input	2	78255	67839	4
23524	1	Response	3	78255	67839	4
23524	1	Port Input	1	81084	70668	6
23524	1	Response	2	81084	70668	6
23524	1	Port Input	1	82326	71909	6
23524	1	Response	2	82326	71909	6
23524	1	Port Input	2	83741	73325	4
23524	1	Response	3	83741	73325	4
23524	1	Port Input	2	85364	74948	4
23524	1	Response	3	85364	74948	4
23524	1	Port Input	1	134536	124120	4
23524	1	Response	2	134536	124120	4
23524	1	Port Input	1	135725	125308	4
23524	1	Response	2	135725	125308	4
23524	1	Port Input	1	137551	127135	4
23524	1	Response	2	137551	127135	4
23524	1	Port Input	1	183929	173513	4
23524	1	Response	2	183929	173513	4
23524	1	Port Input	1	185083	174667	4
23524	1	Response	2	185083	174667	4
23524	1	Port Input	1	314456	304040	4
23524	1	Response	2	314456	304040	4
23524	1	Port Input	1	315681	305264	4
23524	1	Response	2	315681	305264	4
23524	1	Port Input	1	413794	403378	4
23524	1	Response	2	413794	403378	4
23524	1	Port Input	1	414723	404307	4
23524	1	Response	2	414723	404307	4
23524	2	Nothing	51	748668	0	1			0		other	0
23524	2	Port Input	2	751192	2524	4
23524	2	Response	3	751192	2524	4
23524	3	Nothing	1000	751212	0	1			0		other	0
23524	4	Nothing	62	751321	0	1			0		other	0
23524	5	Nothing	101	751471	0	1			0		false_alarm	50
23524	5	Port Input	2	752495	1025	6
23524	5	Response	3	752495	1025	6
23524	5	Port Input	2	753560	2090	5
23524	5	Response	3	753560	2090	5
23524	5	Port Input	2	756082	4611	4
