Scenario - phase2_matchingPennies_algorithm1
Logfile written - 05/29/2023 10:33:00

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23513	1	Nothing	61	10421	0	1			0		other	0
23513	1	Manual	05/29/2023 09:49:32	10578	157	NA
23513	1	Port Input	1	209384	198962	4
23513	1	Response	2	209384	198962	4
23513	1	Port Input	1	211187	200766	5
23513	1	Response	2	211187	200766	5
23513	1	Port Input	1	239598	229177	4
23513	1	Response	2	239598	229177	4
23513	1	Port Input	1	239922	229501	4
23513	1	Response	2	239922	229501	4
23513	1	Port Input	1	271571	261150	4
23513	1	Response	2	271571	261150	4
23513	1	Port Input	1	272725	262304	4
23513	1	Response	2	272725	262304	4
23513	1	Port Input	1	274066	263645	4
23513	1	Response	2	274066	263645	4
23513	1	Port Input	1	305170	294749	4
23513	1	Response	2	305170	294749	4
23513	1	Port Input	1	354718	344297	4
23513	1	Response	2	354718	344297	4
23513	1	Port Input	1	356307	345886	7
23513	1	Response	2	356307	345886	7
23513	1	Port Input	2	539872	529451	5
23513	1	Response	3	539872	529451	5
23513	1	Port Input	1	738062	727640	4
23513	1	Response	2	738062	727640	4
23513	1	Port Input	1	739501	729080	4
23513	1	Response	2	739501	729080	4
23513	2	Nothing	51	753837	0	1			0		other	0
23513	2	Port Input	1	755918	2081	4
23513	2	Response	2	755918	2081	4
23513	3	Nothing	1000	755934	0	1			0		other	0
23513	4	Nothing	62	756042	0	1			0		other	0
23513	5	Nothing	100	756165	0	1			0		false_alarm	36
23513	5	Port Input	1	757374	1209	4
23513	5	Response	2	757374	1209	4
23513	5	Port Input	1	759573	3408	4
23513	5	Response	2	759573	3408	4
23513	5	Port Input	1	760804	4640	4
23513	5	Response	2	760804	4640	4
23513	5	Port Input	1	762073	5908	4
23513	5	Response	2	762073	5908	4
23513	5	Port Input	1	763281	7116	4
23513	5	Response	2	763281	7116	4
23513	5	Port Input	1	764555	8390	5
23513	5	Response	2	764555	8390	5
23513	5	Port Input	1	765871	9706	4
23513	5	Response	2	765871	9706	4
23513	5	Port Input	1	767251	11086	4
23513	5	Response	2	767251	11086	4
23513	5	Port Input	1	768781	12616	4
23513	5	Response	2	768781	12616	4
23513	5	Port Input	1	770043	13878	4
23513	5	Response	2	770043	13878	4
23513	5	Port Input	1	771439	15274	5
23513	5	Response	2	771439	15274	5
23513	5	Port Input	1	772792	16627	4
23513	5	Response	2	772792	16627	4
23513	5	Port Input	1	774267	18102	4
23513	5	Response	2	774267	18102	4
23513	5	Port Input	1	775940	19775	5
23513	5	Response	2	775940	19775	5
23513	5	Port Input	1	777283	21119	7
23513	5	Response	2	777283	21119	7
23513	5	Port Input	1	779086	22922	4
23513	5	Response	2	779086	22922	4
23513	6	Nothing	19	786791	0	0			0		other	0
23513	7	Nothing	52	809377	0	1			0		other	0
23513	7	Port Input	2	810937	1560	7
23513	7	Response	3	810937	1560	7
23513	8	Nothing	1000	810968	0	1			0		other	0
23513	9	Nothing	62	811081	0	1			0		other	0
23513	10	Nothing	111	811206	0	0			0		false_alarm	75
23513	10	Port Input	2	812161	955	5
23513	10	Response	3	812161	955	5
23513	10	Port Input	2	814590	3384	6
23513	10	Response	3	814590	3384	6
23513	10	Port Input	1	815761	4555	5
23513	10	Response	2	815761	4555	5
23513	10	Port Input	1	816991	5785	5
23513	10	Response	2	816991	5785	5
23513	10	Port Input	1	818318	7112	4
23513	10	Response	2	818318	7112	4
23513	10	Port Input	1	819501	8295	4
23513	10	Response	2	819501	8295	4
23513	10	Port Input	1	820927	9721	4
23513	10	Response	2	820927	9721	4
23513	10	Port Input	1	822192	10986	6
23513	10	Response	2	822192	10986	6
23513	10	Port Input	1	823611	12405	4
23513	10	Response	2	823611	12405	4
23513	10	Port Input	1	823734	12528	4
23513	10	Port Input	1	824999	13793	4
23513	10	Response	2	824999	13793	4
23513	10	Port Input	1	826376	15170	5
23513	10	Response	2	826376	15170	5
23513	10	Port Input	1	827736	16530	4
23513	10	Response	2	827736	16530	4
23513	10	Port Input	1	829287	18081	4
23513	10	Response	2	829287	18081	4
23513	10	Port Input	1	830721	19515	5
23513	10	Response	2	830721	19515	5
