Scenario - phase2_matchingPennies_algorithm1
Logfile written - 07/02/2023 14:40:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23541	1	Nothing	61	10495	0	1			0		other	0
23541	1	Manual	07/02/2023 13:50:21	10645	151	NA
23541	1	Port Input	2	121369	110874	3
23541	1	Response	3	121369	110874	3
23541	1	Port Input	2	310682	300187	5
23541	1	Response	3	310682	300187	5
23541	1	Port Input	2	310687	300192	4
23541	1	Port Input	2	366927	356432	4
23541	1	Response	3	366927	356432	4
23541	1	Port Input	2	366931	356436	4
23541	1	Port Input	2	368266	357772	5
23541	1	Response	3	368266	357772	5
23541	1	Port Input	1	369840	359346	4
23541	1	Response	2	369840	359346	4
23541	1	Port Input	1	369844	359350	4
23541	1	Port Input	1	371181	360686	4
23541	1	Response	2	371181	360686	4
23541	1	Port Input	1	372673	362178	4
23541	1	Response	2	372673	362178	4
23541	1	Port Input	2	374107	363613	3
23541	1	Response	3	374107	363613	3
23541	1	Port Input	1	405418	394923	4
23541	1	Port Input	1	405627	395133	4
23541	1	Port Input	2	407539	397044	4
23541	1	Port Input	2	408677	398182	3
23541	1	Port Input	2	408702	398207	4
23541	1	Port Input	2	417967	407473	4
23541	1	Port Input	2	420437	409942	4
23541	1	Response	3	420437	409942	4
23541	1	Port Input	2	423280	412785	3
23541	1	Response	3	423280	412785	3
23541	1	Port Input	2	423282	412788	4
23541	1	Port Input	2	433005	422510	4
23541	1	Response	3	433005	422510	4
23541	1	Port Input	1	436659	426164	4
23541	1	Port Input	2	565805	555310	4
23541	1	Response	3	565805	555310	4
23541	1	Port Input	2	567315	556821	4
23541	1	Response	3	567315	556821	4
23541	1	Port Input	1	568784	558289	4
23541	1	Response	2	568784	558289	4
23541	1	Port Input	2	641319	630825	3
23541	1	Response	3	641319	630825	3
23541	1	Port Input	1	645512	635017	4
23541	1	Response	2	645512	635017	4
23541	1	Port Input	1	645516	635021	3
23541	1	Port Input	1	646964	636470	3
23541	1	Response	2	646964	636470	3
23541	1	Port Input	1	649752	639258	4
23541	1	Response	2	649752	639258	4
23541	1	Port Input	1	649757	639262	4
23541	2	Nothing	52	674356	0	1			0		other	0
23541	2	Port Input	1	680545	6190	4
23541	2	Response	2	680545	6190	4
23541	3	Nothing	1000	680561	0	1			0		other	0
23541	4	Nothing	62	680668	0	1			0		other	0
23541	5	Nothing	110	680784	0	1			0		false_alarm	59
23541	5	Port Input	1	682075	1291	5
23541	5	Response	2	682075	1291	5
23541	5	Port Input	1	683442	2658	4
23541	5	Response	2	683442	2658	4
23541	5	Port Input	1	684923	4139	4
23541	5	Response	2	684923	4139	4
23541	5	Port Input	1	686194	5410	6
23541	5	Response	2	686194	5410	6
23541	5	Port Input	1	687409	6625	4
23541	5	Response	2	687409	6625	4
23541	5	Port Input	1	688639	7855	4
23541	5	Response	2	688639	7855	4
23541	5	Port Input	1	689805	9020	4
23541	5	Response	2	689805	9020	4
23541	5	Port Input	2	690952	10168	4
23541	5	Response	3	690952	10168	4
23541	5	Port Input	2	692204	11420	3
23541	5	Response	3	692204	11420	3
23541	5	Port Input	1	693407	12622	4
23541	5	Response	2	693407	12622	4
23541	6	Nothing	19	711347	0	1			0		other	0
23541	7	Nothing	51	733596	0	1			0		other	0
23541	7	Port Input	1	734792	1196	4
23541	7	Port Input	1	736345	2749	4
23541	7	Response	2	736345	2749	4
23541	8	Nothing	1000	736358	0	1			0		other	0
23541	9	Nothing	62	736465	0	1			0		other	0
23541	10	Nothing	100	736586	0	1			0		false_alarm	87
23541	10	Port Input	1	737657	1071	4
23541	10	Response	2	737657	1071	4
23541	10	Port Input	2	738584	1998	4
23541	10	Response	3	738584	1998	4
23541	10	Port Input	2	739630	3044	3
23541	10	Response	3	739630	3044	3
23541	10	Port Input	2	740744	4157	4
23541	10	Response	3	740744	4157	4
23541	10	Port Input	1	742033	5446	5
23541	10	Response	2	742033	5446	5
23541	10	Port Input	1	743256	6670	4
23541	10	Response	2	743256	6670	4
23541	10	Port Input	2	744463	7877	4
23541	10	Response	3	744463	7877	4
23541	10	Port Input	2	744467	7880	3
23541	10	Port Input	2	745658	9072	4
23541	10	Response	3	745658	9072	4
23541	10	Port Input	2	746953	10367	4
23541	10	Response	3	746953	10367	4
23541	10	Port Input	1	748267	11681	3
23541	10	Response	2	748267	11681	3
23541	10	Port Input	2	749510	12924	3
23541	10	Response	3	749510	12924	3
23541	10	Port Input	2	750700	14114	4
23541	10	Response	3	750700	14114	4
23541	10	Port Input	2	751982	15396	3
23541	10	Response	3	751982	15396	3
23541	10	Port Input	2	753284	16698	4
23541	10	Response	3	753284	16698	4
23541	10	Port Input	2	754618	18032	4
23541	10	Response	3	754618	18032	4
23541	10	Port Input	1	757567	20981	3
23541	10	Response	2	757567	20981	3
23541	10	Port Input	1	757570	20984	4
23541	10	Port Input	1	758831	22245	3
23541	10	Response	2	758831	22245	3
23541	10	Port Input	1	760103	23517	3
23541	10	Response	2	760103	23517	3
23541	10	Port Input	2	761514	24928	4
23541	10	Response	3	761514	24928	4
23541	11	Nothing	19	766875	0	1			0		other	0
23541	12	Nothing	51	781220	0	1			0		other	0
23541	12	Port Input	1	782410	1191	3
23541	12	Response	2	782410	1191	3
