Scenario - randomOutcome
Logfile written - 07/04/2023 12:09:39

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23526	1	Nothing	61	13644	0	1			0		other	0
23526	2	Nothing	90	13956	0	1			0		other	0
23526	3	Sound	21	29852	0	1			0		hit	5
23526	3	Port Input	1	32104	2252	4
23526	3	Response	2	32104	2252	4
23526	4	Nothing	5	32725	0	1			0		other	0
23526	4	Port Input	1	33559	834	5
23526	4	Response	2	33559	834	5
23526	4	Port Input	1	36882	4158	4
23526	4	Response	2	36882	4158	4
23526	4	Port Input	1	38053	5329	4
23526	4	Response	2	38053	5329	4
23526	4	Port Input	1	39288	6564	4
23526	4	Response	2	39288	6564	4
23526	4	Port Input	1	40501	7776	4
23526	4	Response	2	40501	7776	4
23526	4	Port Input	1	41734	9009	6
23526	4	Response	2	41734	9009	6
23526	4	Port Input	1	43002	10277	4
23526	4	Response	2	43002	10277	4
23526	4	Port Input	1	44317	11593	4
23526	4	Response	2	44317	11593	4
23526	4	Port Input	1	45737	13012	5
23526	4	Response	2	45737	13012	5
23526	4	Port Input	1	47025	14300	5
23526	4	Response	2	47025	14300	5
23526	4	Port Input	1	48275	15550	5
23526	4	Response	2	48275	15550	5
23526	4	Port Input	1	49654	16929	4
23526	4	Response	2	49654	16929	4
23526	4	Port Input	1	51189	18465	4
23526	4	Response	2	51189	18465	4
23526	4	Port Input	1	52640	19916	4
23526	4	Response	2	52640	19916	4
23526	4	Port Input	1	54208	21484	4
23526	4	Response	2	54208	21484	4
23526	4	Port Input	1	55602	22878	4
23526	4	Response	2	55602	22878	4
23526	4	Port Input	1	57045	24321	4
23526	4	Response	2	57045	24321	4
23526	4	Port Input	1	58685	25960	4
23526	4	Response	2	58685	25960	4
23526	4	Port Input	1	60360	27635	4
23526	4	Response	2	60360	27635	4
23526	4	Port Input	1	62539	29815	4
23526	4	Response	2	62539	29815	4
23526	6	Nothing	90	63519	0	1			0		other	0
23526	6	Port Input	1	64061	542	4
23526	6	Response	2	64061	542	4
23526	6	Port Input	1	68150	4631	4
23526	6	Response	2	68150	4631	4
23526	7	Nothing	90	81123	0	1			0		other	0
23526	8	Sound	21	95154	0	1			0		hit	55
23526	8	Port Input	1	97229	2075	4
23526	8	Response	2	97229	2075	4
23526	9	Nothing	5	97904	0	1			0		other	0
23526	9	Port Input	1	98671	767	4
23526	9	Response	2	98671	767	4
23526	9	Port Input	1	100879	2976	6
23526	9	Response	2	100879	2976	6
23526	9	Port Input	1	102125	4222	5
23526	9	Response	2	102125	4222	5
23526	9	Port Input	1	103466	5562	6
23526	9	Response	2	103466	5562	6
23526	9	Port Input	1	104876	6972	4
23526	9	Response	2	104876	6972	4
23526	9	Port Input	1	106203	8299	4
23526	9	Response	2	106203	8299	4
23526	9	Port Input	1	107517	9614	4
23526	9	Response	2	107517	9614	4
23526	9	Port Input	1	108937	11034	4
23526	9	Response	2	108937	11034	4
23526	9	Port Input	1	110227	12323	4
23526	9	Response	2	110227	12323	4
23526	9	Port Input	1	111627	13724	4
23526	9	Response	2	111627	13724	4
23526	9	Port Input	1	112953	15050	4
23526	9	Response	2	112953	15050	4
23526	9	Port Input	1	114492	16588	4
23526	9	Response	2	114492	16588	4
23526	9	Port Input	1	116286	18383	5
23526	9	Response	2	116286	18383	5
23526	9	Port Input	1	117925	20022	4
23526	9	Response	2	117925	20022	4
23526	9	Port Input	1	119293	21389	4
23526	9	Response	2	119293	21389	4
23526	9	Port Input	1	121017	23113	4
23526	9	Response	2	121017	23113	4
23526	9	Port Input	1	122579	24675	4
23526	9	Response	2	122579	24675	4
23526	11	Nothing	90	128556	0	0			0		other	0
23526	11	Port Input	1	132901	4345	4
23526	11	Response	2	132901	4345	4
23526	11	Port Input	1	135339	6783	4
23526	11	Response	2	135339	6783	4
23526	11	Port Input	1	151876	23320	4
23526	11	Response	2	151876	23320	4
23526	11	Port Input	1	153356	24800	4
23526	11	Response	2	153356	24800	4
23526	11	Port Input	1	158294	29737	4
23526	11	Response	2	158294	29737	4
23526	11	Port Input	1	160123	31567	4
23526	11	Response	2	160123	31567	4
23526	12	Nothing	90	160937	0	0			0		other	0
23526	12	Port Input	1	161361	425	4
23526	12	Response	2	161361	425	4
23526	12	Port Input	1	164721	3784	5
23526	12	Response	2	164721	3784	5
23526	13	Nothing	90	181212	0	0			0		other	0
23526	14	Sound	21	197857	0	1			0		hit	112
23526	14	Port Input	1	200056	2199	4
23526	14	Response	2	200056	2199	4
23526	15	Nothing	75	200675	0	1			0		other	0
23526	15	Port Input	1	202518	1843	7
23526	15	Response	2	202518	1843	7
23526	15	Port Input	1	204089	3414	4
23526	15	Response	2	204089	3414	4
23526	15	Port Input	1	205383	4708	5
23526	15	Response	2	205383	4708	5
23526	15	Port Input	1	207310	6635	5
23526	15	Response	2	207310	6635	5
23526	15	Port Input	1	209077	8401	4
23526	15	Response	2	209077	8401	4
23526	17	Nothing	90	231315	0	0			0		other	0
23526	18	Sound	21	268360	0	1			0		hit	127
23526	18	Port Input	1	270543	2183	5
23526	18	Response	2	270543	2183	5
23526	19	Nothing	5	271174	0	1			0		other	0
23526	19	Port Input	1	271959	785	4
23526	19	Response	2	271959	785	4
23526	19	Port Input	1	273269	2095	4
23526	19	Response	2	273269	2095	4
23526	19	Port Input	1	274286	3112	4
23526	19	Response	2	274286	3112	4
23526	19	Port Input	1	275527	4353	4
23526	19	Response	2	275527	4353	4
23526	19	Port Input	1	276758	5584	4
23526	19	Response	2	276758	5584	4
23526	19	Port Input	1	278124	6950	4
23526	19	Response	2	278124	6950	4
23526	19	Port Input	1	279485	8311	4
23526	19	Response	2	279485	8311	4
23526	19	Port Input	1	280651	9477	4
23526	19	Response	2	280651	9477	4
23526	19	Port Input	1	281947	10773	4
23526	19	Response	2	281947	10773	4
23526	19	Port Input	1	283345	12171	4
23526	19	Response	2	283345	12171	4
23526	19	Port Input	1	284737	13563	4
23526	19	Response	2	284737	13563	4
23526	19	Port Input	1	286186	15012	4
23526	19	Response	2	286186	15012	4
23526	19	Port Input	1	287672	16498	4
23526	19	Response	2	287672	16498	4
23526	19	Port Input	1	289243	18069	9
23526	19	Response	2	289243	18069	9
23526	19	Port Input	1	290808	19634	4
23526	19	Response	2	290808	19634	4
