Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/09/2023 12:39:30

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23508	1	Nothing	61	10630	0	1			0		other	0
23508	1	Manual	06/09/2023 11:48:59	10817	187	NA
23508	1	Port Input	2	12695	2065	5
23508	1	Response	3	12695	2065	5
23508	1	Port Input	1	34950	24320	4
23508	1	Response	2	34950	24320	4
23508	1	Port Input	1	66492	55862	4
23508	1	Response	2	66492	55862	4
23508	1	Port Input	1	67993	57363	4
23508	1	Response	2	67993	57363	4
23508	1	Port Input	1	115486	104857	4
23508	1	Response	2	115486	104857	4
23508	1	Port Input	1	116703	106073	4
23508	1	Response	2	116703	106073	4
23508	1	Port Input	1	141229	130599	5
23508	1	Response	2	141229	130599	5
23508	1	Port Input	1	164206	153577	9
23508	1	Response	2	164206	153577	9
23508	1	Port Input	1	210214	199584	5
23508	1	Response	2	210214	199584	5
23508	1	Port Input	1	240099	229469	4
23508	1	Response	2	240099	229469	4
23508	1	Port Input	2	241998	231368	4
23508	1	Response	3	241998	231368	4
23508	1	Port Input	1	287151	276521	4
23508	1	Response	2	287151	276521	4
23508	1	Port Input	1	288614	277985	4
23508	1	Response	2	288614	277985	4
23508	1	Port Input	1	290269	279639	4
23508	1	Response	2	290269	279639	4
23508	1	Port Input	1	293093	282463	4
23508	1	Response	2	293093	282463	4
23508	1	Port Input	1	322316	311687	4
23508	1	Response	2	322316	311687	4
23508	1	Port Input	1	352321	341691	4
23508	1	Response	2	352321	341691	4
23508	1	Port Input	1	357305	346675	4
23508	1	Response	2	357305	346675	4
23508	1	Port Input	1	481397	470767	4
23508	1	Response	2	481397	470767	4
23508	1	Port Input	2	484272	473643	4
23508	1	Response	3	484272	473643	4
23508	1	Port Input	1	510557	499927	4
23508	1	Response	2	510557	499927	4
23508	1	Port Input	1	530353	519723	5
23508	1	Response	2	530353	519723	5
23508	1	Port Input	1	530894	520264	4
23508	1	Response	2	530894	520264	4
23508	1	Port Input	1	532264	521634	4
23508	1	Response	2	532264	521634	4
23508	1	Port Input	1	583339	572710	4
23508	1	Response	2	583339	572710	4
23508	1	Port Input	2	586577	575948	4
23508	1	Response	3	586577	575948	4
23508	1	Port Input	1	609740	599110	4
23508	1	Response	2	609740	599110	4
23508	1	Port Input	1	645112	634482	4
23508	1	Response	2	645112	634482	4
23508	1	Port Input	2	648638	638008	4
23508	1	Response	3	648638	638008	4
23508	1	Port Input	1	726070	715441	4
23508	1	Response	2	726070	715441	4
23508	1	Port Input	1	745952	735322	4
23508	1	Response	2	745952	735322	4
23508	2	Nothing	51	757601	0	1			0		other	0
23508	2	Port Input	1	759690	2089	4
23508	2	Response	2	759690	2089	4
23508	3	Nothing	1000	759707	0	0			0		other	0
23508	4	Nothing	62	759816	0	1			0		other	0
23508	5	Nothing	100	759938	0	0			0		false_alarm	72
23508	5	Port Input	1	761493	1555	4
23508	5	Response	2	761493	1555	4
23508	5	Port Input	1	764271	4334	4
23508	5	Response	2	764271	4334	4
23508	5	Port Input	1	765435	5497	4
23508	5	Response	2	765435	5497	4
23508	5	Port Input	1	766767	6829	5
23508	5	Response	2	766767	6829	5
23508	5	Port Input	1	767936	7998	4
23508	5	Response	2	767936	7998	4
23508	5	Port Input	1	769315	9378	4
23508	5	Response	2	769315	9378	4
23508	5	Port Input	1	770376	10439	4
23508	5	Response	2	770376	10439	4
23508	5	Port Input	1	771919	11981	4
23508	5	Response	2	771919	11981	4
23508	5	Port Input	1	773207	13270	4
23508	5	Response	2	773207	13270	4
23508	5	Port Input	1	774551	14613	4
23508	5	Response	2	774551	14613	4
23508	5	Port Input	1	776068	16131	5
23508	5	Response	2	776068	16131	5
23508	5	Port Input	1	777368	17431	5
23508	5	Response	2	777368	17431	5
23508	5	Port Input	1	778919	18981	4
23508	5	Response	2	778919	18981	4
23508	5	Port Input	1	780263	20326	6
23508	5	Response	2	780263	20326	6
23508	5	Port Input	1	781869	21931	4
23508	5	Response	2	781869	21931	4
23508	5	Port Input	1	783151	23213	6
23508	5	Response	2	783151	23213	6
23508	5	Port Input	1	784864	24926	4
23508	5	Response	2	784864	24926	4
23508	5	Port Input	1	786393	26456	4
23508	5	Response	2	786393	26456	4
23508	5	Port Input	1	787979	28042	4
23508	5	Response	2	787979	28042	4
23508	5	Port Input	1	789798	29860	4
23508	5	Response	2	789798	29860	4
23508	6	Nothing	19	790483	0	1			0		other	0
23508	6	Port Input	1	793975	3492	4
23508	6	Response	2	793975	3492	4
23508	6	Port Input	2	795760	5277	4
23508	6	Response	3	795760	5277	4
23508	6	Port Input	2	797244	6761	4
23508	6	Response	3	797244	6761	4
23508	6	Port Input	1	798572	8089	4
23508	6	Response	2	798572	8089	4
23508	7	Nothing	19	803838	0	1			0		other	0
23508	7	Port Input	2	821029	17191	6
23508	7	Response	3	821029	17191	6
23508	7	Port Input	1	822407	18569	4
23508	7	Response	2	822407	18569	4
23508	8	Nothing	19	824509	0	1			0		other	0
23508	9	Nothing	51	844708	0	0			0		other	0
23508	9	Port Input	1	845422	713	4
23508	9	Response	2	845422	713	4
23508	10	Nothing	1000	845437	0	1			0		other	0
23508	11	Nothing	62	845546	0	1			0		other	0
23508	12	Nothing	100	845676	0	1			0		false_alarm	133
23508	12	Port Input	1	847254	1578	4
23508	12	Response	2	847254	1578	4
23508	12	Port Input	1	848447	2771	4
23508	12	Response	2	848447	2771	4
23508	12	Port Input	1	849841	4165	6
23508	12	Response	2	849841	4165	6
23508	12	Port Input	1	851110	5434	8
23508	12	Response	2	851110	5434	8
23508	12	Port Input	1	852384	6708	4
23508	12	Response	2	852384	6708	4
23508	12	Port Input	1	853859	8183	4
23508	12	Response	2	853859	8183	4
23508	12	Port Input	1	855110	9434	7
23508	12	Response	2	855110	9434	7
23508	12	Port Input	1	856863	11187	5
23508	12	Response	2	856863	11187	5
23508	12	Port Input	1	858055	12379	4
23508	12	Response	2	858055	12379	4
23508	12	Port Input	1	859714	14038	4
23508	12	Response	2	859714	14038	4
23508	12	Port Input	1	861361	15685	4
23508	12	Response	2	861361	15685	4
23508	12	Port Input	1	863145	17469	4
23508	12	Response	2	863145	17469	4
23508	12	Port Input	1	864545	18869	4
23508	12	Response	2	864545	18869	4
23508	12	Port Input	1	866247	20571	4
23508	12	Response	2	866247	20571	4
23508	12	Port Input	1	867652	21975	4
23508	12	Response	2	867652	21975	4
23508	12	Port Input	1	869530	23854	4
23508	12	Response	2	869530	23854	4
23508	12	Port Input	1	871333	25657	4
23508	12	Response	2	871333	25657	4
23508	12	Port Input	1	872685	27008	4
23508	12	Response	2	872685	27008	4
23508	13	Nothing	19	875959	0	1			0		other	0
23508	14	Nothing	51	888499	0	1			0		other	0
23508	14	Port Input	1	890531	2032	4
23508	14	Response	2	890531	2032	4
23508	15	Nothing	1000	890547	0	1			0		other	0
23508	16	Nothing	62	890655	0	1			0		other	0
23508	17	Nothing	100	890777	0	1			0		false_alarm	176
23508	17	Port Input	1	891923	1146	5
23508	17	Response	2	891923	1146	5
23508	17	Port Input	1	893419	2643	4
23508	17	Response	2	893419	2643	4
23508	17	Port Input	1	894761	3984	5
23508	17	Response	2	894761	3984	5
23508	17	Port Input	1	896131	5354	4
23508	17	Response	2	896131	5354	4
23508	17	Port Input	1	897503	6726	4
23508	17	Response	2	897503	6726	4
23508	17	Port Input	1	898906	8129	4
23508	17	Response	2	898906	8129	4
23508	17	Port Input	1	900332	9555	4
23508	17	Response	2	900332	9555	4
23508	17	Port Input	1	901917	11140	4
23508	17	Response	2	901917	11140	4
23508	17	Port Input	1	903548	12771	4
23508	17	Response	2	903548	12771	4
23508	17	Port Input	1	905434	14658	4
23508	17	Response	2	905434	14658	4
23508	17	Port Input	1	907064	16287	4
23508	17	Response	2	907064	16287	4
23508	17	Port Input	1	912854	22077	8
23508	17	Response	2	912854	22077	8
23508	17	Port Input	1	914287	23510	4
23508	17	Response	2	914287	23510	4
23508	17	Port Input	1	916103	25326	4
23508	17	Response	2	916103	25326	4
23508	17	Port Input	1	917270	26493	4
23508	17	Response	2	917270	26493	4
23508	18	Nothing	19	921056	0	0			0		other	0
23508	18	Port Input	1	936437	15381	4
23508	18	Response	2	936437	15381	4
23508	18	Port Input	1	937660	16604	4
23508	18	Response	2	937660	16604	4
23508	18	Port Input	1	939259	18203	6
23508	18	Response	2	939259	18203	6
23508	18	Port Input	1	949425	28369	4
23508	18	Response	2	949425	28369	4
23508	18	Port Input	1	951025	29969	4
23508	18	Response	2	951025	29969	4
23508	19	Nothing	19	959111	0	1			0		other	0
23508	19	Port Input	1	969237	10126	5
23508	19	Response	2	969237	10126	5
23508	19	Port Input	2	971312	12200	4
23508	19	Response	3	971312	12200	4
23508	19	Port Input	2	972795	13684	4
23508	19	Response	3	972795	13684	4
23508	19	Port Input	1	974348	15237	4
23508	19	Response	2	974348	15237	4
23508	19	Port Input	1	977654	18542	6
23508	19	Response	2	977654	18542	6
23508	20	Nothing	19	992419	0	1			0		other	0
23508	20	Port Input	1	996509	4090	4
