Scenario - phase2_matchingPennies_algorithm1
Logfile written - 06/07/2023 11:15:17

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23513	1	Nothing	61	10439	0	0			0		other	0
23513	1	Manual	06/07/2023 10:27:58	10593	154	NA
23513	1	Port Input	1	18866	8427	5
23513	1	Response	2	18866	8427	5
23513	1	Port Input	1	42412	31973	4
23513	1	Response	2	42412	31973	4
23513	1	Port Input	1	65139	54700	4
23513	1	Response	2	65139	54700	4
23513	1	Port Input	1	102210	91771	6
23513	1	Response	2	102210	91771	6
23513	1	Port Input	1	120543	110104	4
23513	1	Response	2	120543	110104	4
23513	1	Port Input	1	137127	126688	4
23513	1	Response	2	137127	126688	4
23513	1	Port Input	1	156506	146067	4
23513	1	Response	2	156506	146067	4
23513	1	Port Input	1	178386	167947	5
23513	1	Response	2	178386	167947	5
23513	1	Port Input	1	217063	206624	4
23513	1	Response	2	217063	206624	4
23513	1	Port Input	1	249003	238564	4
23513	1	Response	2	249003	238564	4
23513	1	Port Input	1	280678	270239	4
23513	1	Response	2	280678	270239	4
23513	1	Port Input	1	302003	291564	4
23513	1	Response	2	302003	291564	4
23513	1	Port Input	1	319310	308871	5
23513	1	Response	2	319310	308871	5
23513	1	Port Input	1	343147	332708	4
23513	1	Response	2	343147	332708	4
23513	1	Port Input	1	365113	354674	4
23513	1	Response	2	365113	354674	4
23513	1	Port Input	1	386081	375642	4
23513	1	Response	2	386081	375642	4
23513	1	Port Input	1	408046	397607	5
23513	1	Response	2	408046	397607	5
23513	1	Port Input	1	429732	419293	4
23513	1	Response	2	429732	419293	4
23513	1	Port Input	1	446875	436436	4
23513	1	Response	2	446875	436436	4
23513	1	Port Input	1	462387	451948	4
23513	1	Response	2	462387	451948	4
23513	1	Port Input	1	481715	471275	4
23513	1	Response	2	481715	471275	4
23513	1	Port Input	1	516838	506399	4
23513	1	Response	2	516838	506399	4
23513	1	Port Input	2	532230	521791	5
23513	1	Response	3	532230	521791	5
23513	1	Port Input	1	535648	525209	4
23513	1	Response	2	535648	525209	4
23513	1	Port Input	1	537028	526589	4
23513	1	Response	2	537028	526589	4
23513	1	Port Input	1	560005	549566	4
23513	1	Response	2	560005	549566	4
23513	1	Port Input	1	578153	567714	5
23513	1	Response	2	578153	567714	5
