Scenario - phase2_matchingPennies_algorithm1
Logfile written - 05/23/2023 10:43:24

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23513	1	Nothing	61	10417	0	1			0		other	0
23513	1	Manual	05/23/2023 10:06:34	10570	153	NA
23513	1	Port Input	1	25809	15392	4
23513	1	Response	2	25809	15392	4
23513	1	Port Input	1	27389	16972	4
23513	1	Response	2	27389	16972	4
23513	1	Port Input	1	51603	41187	11
23513	1	Response	2	51603	41187	11
23513	1	Port Input	1	71365	60949	4
23513	1	Response	2	71365	60949	4
23513	1	Port Input	1	73492	63075	5
23513	1	Response	2	73492	63075	5
23513	1	Port Input	1	95839	85422	4
23513	1	Response	2	95839	85422	4
23513	1	Port Input	1	115537	105120	5
23513	1	Response	2	115537	105120	5
23513	1	Port Input	1	132053	121636	4
23513	1	Response	2	132053	121636	4
23513	1	Port Input	1	153529	143113	4
23513	1	Response	2	153529	143113	4
23513	1	Port Input	1	183178	172761	4
23513	1	Response	2	183178	172761	4
23513	1	Port Input	1	203103	192686	4
23513	1	Response	2	203103	192686	4
23513	1	Port Input	1	203199	192782	4
23513	1	Port Input	1	230535	220118	5
23513	1	Response	2	230535	220118	5
23513	1	Port Input	1	247001	236584	4
23513	1	Response	2	247001	236584	4
23513	1	Port Input	1	272267	261850	4
23513	1	Response	2	272267	261850	4
23513	1	Port Input	1	307753	297336	4
23513	1	Response	2	307753	297336	4
23513	1	Port Input	1	309099	298682	4
23513	1	Response	2	309099	298682	4
23513	1	Port Input	1	323649	313232	4
23513	1	Response	2	323649	313232	4
23513	1	Port Input	1	333636	323219	4
23513	1	Response	2	333636	323219	4
23513	1	Port Input	1	350283	339866	4
23513	1	Response	2	350283	339866	4
23513	1	Port Input	1	351689	341272	4
23513	1	Response	2	351689	341272	4
23513	1	Port Input	2	363636	353219	6
23513	1	Response	3	363636	353219	6
23513	1	Port Input	2	363662	353245	4
23513	1	Port Input	2	366734	356317	4
23513	1	Response	3	366734	356317	4
23513	1	Port Input	2	367899	357482	4
23513	1	Response	3	367899	357482	4
23513	1	Port Input	2	367942	357525	5
23513	1	Port Input	2	369244	358827	4
23513	1	Response	3	369244	358827	4
23513	1	Port Input	2	372564	362147	4
23513	1	Response	3	372564	362147	4
23513	1	Port Input	2	399649	389232	4
23513	1	Response	3	399649	389232	4
23513	1	Port Input	2	399667	389250	4
23513	1	Port Input	2	494575	484158	4
23513	1	Response	3	494575	484158	4
23513	1	Port Input	1	598349	587932	4
23513	1	Response	2	598349	587932	4
23513	1	Port Input	1	599960	589543	5
23513	1	Response	2	599960	589543	5
23513	1	Port Input	1	643669	633252	4
23513	1	Response	2	643669	633252	4
23513	1	Port Input	1	688945	678528	5
23513	1	Response	2	688945	678528	5
23513	1	Port Input	1	690264	679847	4
23513	1	Response	2	690264	679847	4
23513	1	Port Input	1	691566	681149	4
23513	1	Response	2	691566	681149	4
23513	2	Nothing	51	754873	0	1			0		other	0
23513	2	Port Input	1	756558	1685	7
23513	2	Response	2	756558	1685	7
23513	3	Nothing	1000	756583	0	1			0		other	0
23513	4	Nothing	62	756691	0	1			0		other	0
23513	5	Nothing	100	756811	0	1			0		false_alarm	80
23513	5	Port Input	1	757746	935	4
23513	5	Response	2	757746	935	4
23513	5	Port Input	1	759859	3048	4
23513	5	Response	2	759859	3048	4
23513	5	Port Input	1	760991	4180	4
23513	5	Response	2	760991	4180	4
23513	5	Port Input	1	762226	5415	4
23513	5	Response	2	762226	5415	4
23513	5	Port Input	1	763445	6633	4
23513	5	Response	2	763445	6633	4
23513	5	Port Input	1	764668	7856	4
23513	5	Response	2	764668	7856	4
23513	5	Port Input	1	765988	9177	4
23513	5	Response	2	765988	9177	4
23513	5	Port Input	1	767287	10475	6
23513	5	Response	2	767287	10475	6
23513	5	Port Input	1	768657	11846	4
23513	5	Response	2	768657	11846	4
23513	5	Port Input	1	770178	13367	4
23513	5	Response	2	770178	13367	4
23513	5	Port Input	1	771428	14617	4
23513	5	Response	2	771428	14617	4
23513	5	Port Input	1	772885	16073	4
23513	5	Response	2	772885	16073	4
23513	5	Port Input	1	774257	17446	5
23513	5	Response	2	774257	17446	5
23513	5	Port Input	1	775571	18760	4
23513	5	Response	2	775571	18760	4
